Product_ID,Product_Name,Category,Supplier,Warehouse,Quantity_Stock,Unit_Price,Purchase_Date,Expiry_Date,Reorder_Level,Sales_Last_Month,Damaged_Items,Status
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
P1170,Tshirt,Clothng,Sharma & Co,delhi,313,3915.09,8/9/2022,10/12/2020,18,76,15,Available
P1076,Football,Furnture,Reliable Goods,DELHI,0,2664.628217,2/10/2022,9/3/2026,50,162,11,Out of Stock
P1167,Refrigirator,GROCERY,Prime Distributors,New Delhi,130,4615.7,3/14/2022,3/18/2025,12,216,9,Available
P1079,Criket Bat,  Stationary  ,  Quick Supply Co  ,  Mumbai Warehouse  ,485,3146.57,7/23/2023,5/3/2020,14,33,7,Available
P1108,Mixer Grinder,SPORTS,Sharma & Co,chennai,68,4433.32,12/24/2023,4/20/2024,50,257,3,Out of Stock
P1103,Television,Furniture,  ABC Traders  ,Mumbai,184,3695.32,3/14/2022,6/12/2024,28,205,12,Available
P1097,  Football  ,furniture,Reliable Goods,bangalore,15330,4999.54,2/11/2022,1/20/2024,5,188,3,Available
P1029,Wrist Wach,Furniture,  XYZ Supplies  ,delhi,49,1949.34,10/24/2023,11/4/2025,49,120,61,Out of Stock
P1094,  Shoes  ,Groccery,Quick Supply Co,  Bangalore  ,169,2664.628217,1/11/2023,12/22/2025,33,213,184,Available
P1110,Football,  electronics  ,  Best Vendors  ,Bengaluru,360,2946.04,12/7/2022,6/2/2026,10,299,375,Available
P1060,  Football  ,electroncs,  Local Suppliers Ltd  ,Chennai,302,3133.71,1/12/2023,6/23/2026,39,153,14,Out of Stock
P1067,Footbal,Furnture,abc traders,KOLKATA,367,2709.67,11/22/2022,2/14/2026,0,23,379,Available
P1053,Jens,  stationery  ,Prime Distributors,CHENNAI,369,3386.35,3/14/2022,12/3/2025,18,287,7,Out of Stock
P1003,  Footbal  ,  Clothing  ,ABC Traders,Mumbai Warehouse,259,1499.24,12/3/2022,1/20/2026,24,290,275,Available
P1136,Jeans,Sportss,XYZ Supplies,  DELHI  ,91,2432,11/16/2023,5/2/2026,5,40,11,Available
P1113,  Footbal  ,  ELECTRONICS  ,Best Vendors,MUMBAI,230,94.29,3/14/2022,5/6/2026,27,154,14,Available
P1059,Backpck,  GROCERY  ,  abc traders  ,mumbai,15330,3078.47,3/14/2022,8/20/2020,30,28,9,Out of Stock
P1077,  Wrist Watch  ,stationery,XYZ Supplies,bangalore,117,521.11,3/14/2022,3/3/2026,27,77,14,Available
P1157,Backpck,Furnture,Prime Distributors,delhi,15330,4167.81,3/14/2022,5/5/2025,7,266,10,Out of Stock
P1056,  T-Shirt  ,Furnture,XYZ Supplies,Mumbai Warehouse,15330,3233.47,4/6/2022,3/19/2024,20,95,14,Available
P1050,Shoes,Electronics,  Reliable Goods  ,Mumbai Warehouse,15330,2664.628217,2/13/2023,5/27/2026,30,285,4,Out of Stock
P1083,Tshirt,  ELECTRONICS  ,Sharma & Co,kolkata,234,486.93,2/19/2023,5/6/2026,25,167,2,Available
P1005,  Backpack  ,Elec,abc traders,Bengaluru,15330,312.46,7/4/2022,7/6/2024,30,276,2,Available
P1042,  Wrist Wach  ,CLOTHING,ABC Traders,MUMBAI,0,2664.628217,12/9/2022,9/26/2026,45,8,8,Out of Stock
P1084,Cricket Bat,furniture,Local Suppliers Ltd,mumbai,436,3433.41,4/27/2022,5/6/2026,24,231,3,Available
P1172,Mixer Grinder,clothing,abc traders,mumbai,15330,2664.628217,3/25/2023,10/6/2025,40,267,6,Available
P1165,Backpck,Stationery,abc traders,DELHI,15330,1298.61,8/3/2022,10/13/2024,32,226,8,Available
P1049,Football,FURNITURE, Global Mart ,kolkata,238,712.98,3/14/2022,6/19/2024,37,147,14,Available
P1036,Television,  Grocery  ,XYZ Supplies,mumbai,372,746.97,4/6/2023,2/6/2026,33,165,4,Available
P1078,Mixer Grinder,Clothing,   Global Mart   ,  DELHI  ,369,3455.48,4/17/2023,5/6/2026,36,36,11,Available
P1128,Footbal,FURNITURE,Best Vendors,  bangalore  ,493,3252.83,6/11/2023,8/3/2026,15,215,2,Available
P1008,Jens,Elec, Global Mart ,New Delhi,0,1720.97,3/14/2022,2/21/2024,13,226,0,Out of Stock
P1075,T-Shirt,  electroncs  ,abc traders,Bangalore,137,386.83,7/17/2022,8/16/2025,10,183,12,Available
P1157,  Backpack  ,GROCERY,Prime Distributors,  chennai  ,220,3938.76,3/22/2022,2/19/2021,16,55,12,Out of Stock
P1101,Pen Set,Grocery,  Reliable Goods  ,MUMBAI,0,853.23,7/21/2022,1/20/2026,24,280,6,Out of Stock
P1093,  Backpck  ,Stationery, Global Mart ,Mumbai Warehouse,413,1992.8,3/14/2022,10/17/2026,42,54,9,Available
P1082,Laptop,Furniture,Best Vendors,MUMBAI,252,3664.99,3/1/2022,5/6/2026,5,34659,3,Available
P1177,  Sofa Set  ,FURNITURE,  ABC Traders  ,Chennai,218600,2664.628217,8/3/2022,5/6/2026,16,162,14,Available
P1011,Refrigerator,ELECTRONICS,abc traders,New Delhi,158,3489.07,7/22/2022,10/19/2024,18,164,6,Available
P1151,Shose,  SPORTS  ,Best Vendors,  Delhi  ,407,3999.83,1/11/2023,4/1/2026,24,3,12,Out of Stock
P1048,  Tshirt  ,SPORTS,Quick Supply Co,delhi,15330,2888.09,3/14/2022,9/10/2026,48,30,13,Available
P1033,  Shoes  ,Elec,Local Suppliers Ltd,Mumbai Warehouse,432,3112.4,10/22/2022,5/23/2024,14,72,2,Available
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
P1056,  Televison  ,  Furnture  ,Best Vendors,Chennai,133,320,3/13/2023,5/23/2026,19,78,11,Out of Stock
P1117,Televison,SPORTS,  Local Suppliers Ltd  ,  Mumbai  ,337,3662.7,4/25/2022,8/6/2025,29,147,3,Out of Stock
P1129,Sofa St,Furnture,Prime Distributors,CHENNAI,230,125.27,12/23/2023,4/7/2020,6,42,2,Available
P1130,  T-Shirt  ,  Grocery  ,abc traders,chennai,445,2664.628217,10/20/2022,10/14/2026,35,226,4,Available
P1099,Notbook,Sportss,  Quick Supply Co  ,mumbai,195,4355.54,6/14/2022,3/11/2025,16,231,5,Available
P1169,Mixr Grinder,Stationery, Global Mart ,mumbai,171,2664.628217,9/6/2023,5/1/2026,24,147,9,Available
P1079,Mixer Grinder,  stationery  ,Quick Supply Co,  MUMBAI  ,435,3983.17,6/18/2022,5/6/2026,32,235,8,Out of Stock
P1061,  Mixer Grinder  ,grocery,XYZ Supplies,  CHENNAI  ,97,2664.628217,4/26/2022,4/16/2026,5,60,7,Out of Stock
P1145,  Football  ,CLOTHING,  Prime Distributors  ,  Delhi Warehouse  ,134,2921.83,3/14/2022,3/21/2024,20,128,0,Available
P1079,Mixer Grinder,  stationery  ,Quick Supply Co,  MUMBAI  ,435,3983.17,6/18/2022,5/6/2026,32,235,8,Out of Stock
P1082,Mixer Grinder,Elec,Local Suppliers Ltd,Delhi,191,2439.16,3/14/2022,9/18/2024,18,53,13,Available
P1146,Refrigerator,  ELECTRONICS  ,Prime Distributors,Kolkata,454,218.71,12/11/2023,10/20/2026,38,21,12,Available
P1058,Refrigirator,electronics,XYZ Supplies,delhi,15330,2664.628217,6/13/2023,7/3/2025,15,201,7,Available
P1053,Jens,  stationery  ,Prime Distributors,CHENNAI,369,3386.35,3/14/2022,12/3/2025,18,287,7,Out of Stock
P1139,  Televison  ,  Furniture  ,Reliable Goods,mumbai,405,4496.13,10/21/2022,5/6/2026,26,213,7,Available
P1155,Jeans,  Grocery  ,Quick Supply Co,KOLKATA,0,538.58,7/6/2023,11/27/2026,17,273,14,Available
P1115,Wrist Wach,ELECTRONICS,XYZ Supplies,mumbai,169,1180.32,4/11/2022,11/10/2026,25,160,13,Available
P1124,Office Chair,furniture,Local Suppliers Ltd,KOLKATA,355,2423.31,8/22/2023,8/4/2024,48,211,0,Available
P1029,Lapttop,  Sportss  , Global Mart ,MUMBAI,169,1166.96,3/21/2022,12/20/2024,5,32,5,Available
P1122,T-Shirt,  Stationery  ,Sharma & Co,  Mumbai  ,402,3488.32,3/14/2022,8/20/2024,24,205,1,Available
P1028,Dining Table,Grocery,Prime Distributors,Chennai,58,2664.628217,12/9/2023,5/18/2024,42,190,0,Out of Stock
P1064,  Jeans  ,stationery,   Global Mart   ,New Delhi,317,1343.95,7/15/2023,4/10/2026,46,194,0,Available
P1019,  Shose  ,Electronics,Prime Distributors,  chennai  ,15330,4112.36,10/21/2022,5/6/2026,20,115,12,Available
P1027,  Sofa St  ,Stationery,ABC Traders,Kolkata,397,1768.08,11/25/2023,3/21/2026,24,67,13,Available
P1116,Wrist Watch,SPORTS,  abc traders  ,delhi,15330,2664.628217,3/4/2022,5/6/2026,36,16,4,Available
P1020,Mobil Phone,  STATIONERY  ,Sharma & Co,Mumbai Warehouse,0,2664.628217,2/5/2023,12/28/2025,45,101,4,Available
P1043,  T-Shirt  ,Sports, Global Mart ,Bengaluru,93,2664.628217,2/4/2023,5/17/2025,46,24,3,Available
P1052,  Mixer Grinder  ,  Stationery  ,Quick Supply Co,  New Delhi  ,214,2057.78,3/14/2022,4/18/2026,16,279,8,Available
P1158,Laptop,  Stationery  ,Local Suppliers Ltd,  Bengaluru  ,162,3401,12/12/2023,9/13/2026,24,183,0,Out of Stock
P1022,Football,Grocery,Prime Distributors,Bangalore,232,2664.628217,11/28/2022,4/17/2024,8,147,8,Out of Stock
P1036,Television,  Grocery  ,XYZ Supplies,mumbai,372,746.97,4/6/2023,2/6/2026,33,165,4,Available
P1121,Jeans,Sports,  Sharma & Co  ,Delhi,15564,4023.39,3/14/2022,9/14/2025,18,247,15,Available
P1153,Jens,furniture,Best Vendors,Kolkata,424,1518.57,4/3/2022,5/9/2025,24,50,4,Available
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
P1018,Pen St,Clothng,Local Suppliers Ltd,Bengaluru,61,3716.98,4/7/2022,10/25/2026,23,7,1,Out of Stock
P1160,  Pen Set  ,Clothing,Quick Supply Co,MUMBAI,474,4891.38,2/19/2023,3/24/2024,22,45,2,Out of Stock
P1076,Football,Furnture,Reliable Goods,DELHI,0,2664.628217,2/10/2022,9/3/2026,50,162,11,Out of Stock
P1077,Laptop,furniture,Reliable Goods,chennai,421,689.26,11/8/2022,5/24/2025,25,201,6,Out of Stock
P1114,T-Shirt,Sports, Global Mart ,CHENNAI,15330,218.45,3/14/2022,12/24/2026,14,129,5,Out of Stock
P1046,  Shose  ,electroncs,  Prime Distributors  ,Bengaluru,495,1743.65,3/14/2022,11/6/2026,13,184,4,Available
P1088,T-Shirt,Grocery,  abc traders  ,Delhi Warehouse,396,1830.8,10/4/2023,3/24/2024,16,182,5,Out of Stock
P1089,Mixr Grinder,Stationary,  ABC Traders  ,chennai,113,2485.96,4/12/2022,12/22/2024,5,131,1,Out of Stock
P1087,Laptop,Clothng,Quick Supply Co,bangalore,150,2664.628217,1/21/2023,1/22/2026,10,142,8,Available
P1135,Jeans,  CLOTHING  , Global Mart ,chennai,425,810.11,5/27/2023,1/25/2025,44,122,443,Available
P1038,Dinig Table,Grocery,Best Vendors,chennai,15330,1655.16,5/9/2023,11/3/2026,46,43,12,Available
P1133,Sofa St,  stationery  ,XYZ Supplies,New Delhi,254,1322.34,6/23/2022,9/16/2024,5,293,2,Available
P1087,Sofa St,  STATIONERY  ,Sharma & Co,Bangalore,432,1596.84,10/1/2023,10/5/2026,36,19,8,Available
P1105,Televison,Stationery,  Reliable Goods  ,KOLKATA,5,4245.74,2/25/2022,5/2/2025,20,293,14,Available
P1040,  Wrist Watch  ,GROCERY,Prime Distributors,mumbai,225,2664.628217,4/26/2022,1/21/2021,30,82,4,Available
P1133,Sofa Set,  Electronics  ,Sharma & Co,  Bengaluru  ,101,2610.48,7/22/2023,11/24/2024,25,26,3,Available
P1116,Wrist Wach,stationery,abc traders,Delhi,15330,173.24,12/20/2023,11/3/2024,15,187,1,Available
P1021,Jeans,clothing,Reliable Goods,kolkata,15330,1618.38,4/22/2022,11/27/2024,38,92,13,Available
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
P1167,Offise Chair,Stationary,  Sharma & Co  ,delhi,153,3156.78,11/15/2022,4/1/2024,39,230,164,Available
P1127,Pen St,Groccery,  Quick Supply Co  ,MUMBAI,411,1910.61,3/14/2022,3/28/2025,24,24,1,Available
P1153,Jens,furniture,Best Vendors,Kolkata,424,1518.57,4/3/2022,5/9/2025,24,50,4,Available
P1023,Laptop,  ELECTRONICS  ,XYZ Supplies,New Delhi,0,2664.628217,8/8/2023,4/20/2025,20,136,9,Out of Stock
P1080,Mobil Phone,STATIONERY,   Global Mart   ,Delhi Warehouse,413546,3606.62,12/25/2022,1/11/2024,41,261,5,Available
P1098,Jeans,Clothing,ABC Traders,mumbai,351,4533.57,3/27/2023,5/4/2024,16,45,9,Available
P1024,Shoes,Sports,Reliable Goods,chennai,122,3879.97,12/26/2023,11/5/2026,26,225,0,Available
P1065,Notebook,  electronics  ,Quick Supply Co,delhi,143,174.18,1/7/2023,10/2/2021,48,71,2,Available
P1009,Tshirt,electronics,ABC Traders,mumbai,181,2037.82,3/14/2022,1/7/2024,47,136,12,Available
P1119,  Lapttop  ,electroncs,   Global Mart   ,  kolkata  ,28,2588.04,12/24/2022,4/15/2024,31,93,5,Available
P1157,Sofa St,  STATIONERY  ,  Best Vendors  ,mumbai,15564,973.67,9/24/2022,11/19/2024,11,205,14,Available
P1168,Dinig Table,Stationery,  Local Suppliers Ltd  ,MUMBAI,15330,2361.39,4/23/2022,11/2/2020,42,58,7,Available
P1154,Laptop,electronics,Quick Supply Co,chennai,15330,1569.28,11/7/2023,5/18/2025,15,46675,6,Out of Stock
P1138,Backpack,Clothing,abc traders,  KOLKATA  ,474,2267.49,12/2/2022,10/3/2026,6,141,4,Available
P1012,Offise Chair,Stationery,  abc traders  ,MUMBAI,101,2664.628217,8/14/2022,12/13/2026,11,265,3,Available
P1134,Notbook,  GROCERY  ,ABC Traders,Kolkata,0,2664.628217,2/11/2023,12/18/2024,46,224,13,Available
P1107,  Backpack  ,  SPORTS  ,XYZ Supplies,  Bangalore  ,97,2078.21,3/14/2022,3/16/2026,42,90,4,Out of Stock
P1152,Footbal,CLOTHING,ABC Traders,  Kolkata  ,442,3922.11,9/10/2022,9/18/2025,27,15,5,Available
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
P1013,Football,clothing,Local Suppliers Ltd,KOLKATA,0,3761.37,9/16/2023,2/23/2025,10,78,14,Available
P1140,  Mixer Grinder  ,  Clothng  ,Local Suppliers Ltd,chennai,25,4855.49,4/14/2022,11/3/2024,21,66,6,Out of Stock
P1091,Sofa Set,  Furniture  ,ABC Traders,KOLKATA,0,1479.8,4/4/2023,5/3/2026,36,278,12,Available
P1034,Jens,Stationary,  Quick Supply Co  ,  delhi  ,25,2664.628217,9/7/2023,6/14/2024,47,147,6,Available
P1173,  Televison  ,Clothing,Quick Supply Co,Delhi,15330,2526.04,3/14/2022,8/8/2025,18,147,9,Available
P1081,  Notbook  ,  Clothng  ,  ABC Traders  ,Kolkata,91,2768.8,11/4/2023,9/6/2026,8,23,106,Available
P1037,Mobil Phone,ELECTRONICS,  Prime Distributors  ,CHENNAI,15330,3078.89,10/18/2023,10/21/2025,8,175,2,Available
P1014,Lapttop,Stationary,  Prime Distributors  ,CHENNAI,456,3740.1,8/8/2022,7/11/2024,34,147,0,Available
P1041,Pen Set,  Clothing  ,Local Suppliers Ltd,Bangalore,14,3576.37,3/2/2022,12/27/2025,24,76,13,Available
P1147,  Mobil Phone  ,clothing,Best Vendors,Chennai,313,4519.34,2/24/2023,7/14/2020,50,46,5,Available
P1004,Cricket Bat,SPORTS,Sharma & Co,mumbai,343,2592.7,11/2/2022,8/10/2024,7,121,4,Out of Stock
P1131,Jeans,Electronics,Prime Distributors,Kolkata,408,46.02,9/14/2023,12/21/2026,5,139,8,Available
P1095,Pen St,Clothng,XYZ Supplies,kolkata,268,2664.628217,4/2/2022,5/6/2026,34,63,15,Available
P1156,Wrist Wach,Sportss,Prime Distributors,  MUMBAI  ,132,3501.08,3/14/2022,5/6/2026,23,65,3,Out of Stock
P1121,Jeans,Sports,  Sharma & Co  ,Delhi,15564,4023.39,3/14/2022,9/14/2025,18,247,15,Available
P1066,Footbal,SPORTS,Reliable Goods,  chennai  ,230,4706.3,2/25/2023,3/12/2024,14,54,14,Available
P1111,Jens,sports,XYZ Supplies,chennai,266,2085.5,8/6/2022,10/6/2025,40,4,7,Out of Stock
P1144,  T-Shirt  ,Furnture,Quick Supply Co,MUMBAI,218,1653.13,11/5/2022,3/10/2024,0,80,3,Available
P1168,Dinig Table,electronics,Local Suppliers Ltd,MUMBAI,184,2664.628217,6/22/2023,9/1/2024,40,141,14,Out of Stock
P1148,Offise Chair,Furnture,Local Suppliers Ltd,Mumbai,393,4357.81,3/6/2022,5/6/2026,23,67,8,Available
P1092,Sofa St,electroncs,  XYZ Supplies  ,CHENNAI,387,4205.58,9/22/2023,10/8/2024,24,75,5,Available
P1017,Sofa St,GROCERY,XYZ Supplies,  Bengaluru  ,312,2476.59,4/12/2023,5/6/2026,20,243,0,Available
P1175,  Refrigirator  ,  furniture  ,XYZ Supplies,mumbai,164,2664.628217,6/12/2022,2/16/2026,33,33,2,Available
P1070,Mixr Grinder,furniture,  Reliable Goods  ,New Delhi,265,1112.95,11/19/2023,1/16/2025,0,105,3,Out of Stock
P1030,Notbook,  clothing  ,Sharma & Co,  Delhi  ,64,4150.79,11/4/2022,9/1/2026,12,10973,8,Available
P1007,Mobile Phone,Clothing,Quick Supply Co,  Mumbai Warehouse  ,122,3231.05,1/15/2022,2/18/2024,9,80,9,Available
P1062,Jeans,Sports,Best Vendors,kolkata,411,4200.26,3/14/2022,5/12/2024,31,117,15,Out of Stock
P1106,Mobile Phone,Electronics,Quick Supply Co,Chennai,335,1823.08,8/11/2022,8/23/2026,24,149,8,Available
P1045,Pen St,STATIONERY,  ABC Traders  ,  Bengaluru  ,15330,1920.44,11/15/2022,10/5/2024,24,265,3,Available
P1151,Shose,  SPORTS  ,Best Vendors,  Delhi  ,407,3999.83,1/11/2023,4/1/2026,24,3,12,Out of Stock
P1073,Mobil Phone,Electronics,Sharma & Co,KOLKATA,350,2224.82,10/4/2022,5/6/2026,37,278,1,Available
P1031,Office Chair,Stationary,  Quick Supply Co  ,  kolkata  ,372,2612.04,1/16/2022,8/23/2024,9,299,9,Out of Stock
P1096,  Mixer Grinder  ,  Electronics  ,Local Suppliers Ltd,Delhi Warehouse,995404,2664.628217,2/16/2022,11/21/2020,30,246,3,Available
P1162,Tshirt,FURNITURE,Best Vendors,MUMBAI,15330,4837.05,8/25/2022,11/15/2024,24,147,14,Available
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
P1076,Jeans,  sports  ,Prime Distributors,  delhi  ,428,4289.68,7/7/2022,5/6/2026,24,119,8,Available
P1067,Dining Table,  Electronics  ,  Local Suppliers Ltd  ,chennai,15330,3626.97,3/14/2022,3/9/2024,22,39,7,Available
P1039,  Dinig Table  ,Stationery,  abc traders  ,  Chennai  ,485,4999.88,2/17/2023,1/22/2026,14,84,497,Available
P1000,Lapttop,  GROCERY  ,XYZ Supplies,  KOLKATA  ,15,3014.07,4/15/2023,3/23/2024,26,183,1,Out of Stock
P1006,Mixr Grinder,Grocery,Reliable Goods,Bengaluru,374,3594.86,4/2/2023,5/6/2026,38,41,377,Available
P1057,Refrigirator,Stationery,XYZ Supplies,kolkata,15330,2664.628217,3/11/2022,4/23/2026,8,233,14,Available
P1134,Notbook,  GROCERY  ,ABC Traders,Kolkata,0,2664.628217,2/11/2023,12/18/2024,46,224,13,Available
P1143,Mixer Grinder,  stationery  ,abc traders,  KOLKATA  ,494,117.23,6/16/2023,6/22/2024,37,131,0,Available
P1126,Sofa St,Stationary,Best Vendors,  Delhi Warehouse  ,244,2664.628217,8/4/2022,1/12/2025,15,280,10,Available
P1127,Tshirt,  furniture  ,Local Suppliers Ltd,chennai,458,4903.64,10/24/2022,12/16/2024,30,182,465,Available
P1126,  Televison  ,Stationery,Reliable Goods,  Delhi  ,317,1046.11,12/11/2022,11/19/2020,20,145,5,Out of Stock
P1077,  Wrist Watch  ,stationery,XYZ Supplies,bangalore,117,521.11,3/14/2022,3/3/2026,27,77,14,Available
P1010,Pen Set,  GROCERY  ,Sharma & Co,Mumbai Warehouse,142,3400.8,1/4/2023,1/4/2025,43,295,8,Available
P1125,  Footbal  ,Grocery,  abc traders  ,  Mumbai Warehouse  ,476,1006.34,8/4/2023,5/6/2026,36,277,11,Available
P1141,  Dinig Table  ,ELECTRONICS,Reliable Goods,  DELHI  ,187,2664.628217,3/12/2023,5/6/2026,28,43,207,Available
P1167,Televison,electronics,abc traders,DELHI,397,3690.69,3/14/2022,1/19/2024,50,263,3,Available
P1097,Pen Set,grocery,Local Suppliers Ltd,Bangalore,15330,4198.5,3/14/2022,5/21/2025,46,123,12,Available
P1047,Shoes,Stationary,  Quick Supply Co  ,chennai,348,4146.98,3/14/2022,2/17/2024,19,145,8,Available
P1085,Shoes,electroncs,  Local Suppliers Ltd  ,  chennai  ,378,2541.5,12/19/2023,6/11/2024,49,135,7,Out of Stock
P1110,  Criket Bat  ,Sports,Local Suppliers Ltd,  CHENNAI  ,21,398.53,10/13/2023,2/13/2025,34,45,13,Out of Stock
P1145,Backpack,Furniture,  Best Vendors  ,  mumbai  ,849484,3031.97,3/14/2022,8/5/2026,16,70,13,Available
P1110,  Criket Bat  ,Sports,Local Suppliers Ltd,  CHENNAI  ,21,398.53,10/13/2023,2/13/2025,34,45,13,Out of Stock
P1118,Criket Bat,Furnture,XYZ Supplies,Bangalore,207,2439.44,9/5/2022,9/21/2024,50,212,15,Available
P1142,Notbook,  CLOTHING  ,Sharma & Co,  mumbai  ,132,4961.59,7/19/2022,3/2/2025,34,35470,11,Available
P1044,Mixer Grinder,Grocery,Prime Distributors,kolkata,15330,4975.54,4/6/2023,5/15/2025,24,180,13,Available
P1106,Mobile Phone,Electronics,Quick Supply Co,Chennai,335,1823.08,8/11/2022,8/23/2026,24,149,8,Available
P1118,Refrigirator,Furniture,XYZ Supplies,bangalore,0,2664.628217,3/14/2022,9/17/2025,49,43,11,Out of Stock
P1163,Television,stationery,  Best Vendors  ,  bangalore  ,229,2655.96,9/21/2022,10/21/2025,24,123,6,Out of Stock
P1104,  Notbook  ,  STATIONERY  ,   Global Mart   ,Kolkata,92,3060.68,3/14/2022,1/3/2025,38,289,10,Out of Stock
P1075,Pen St,  stationery  ,Sharma & Co,DELHI,194,1830.51,11/9/2022,2/20/2026,29,285,1,Available
P1022,Football,Grocery,Prime Distributors,Bangalore,232,2664.628217,11/28/2022,4/17/2024,8,147,8,Out of Stock
P1096,  Pen Set  ,Groccery,XYZ Supplies,  Bangalore  ,399,3240.43,11/14/2023,5/6/2026,0,4,9,Out of Stock
???,CORRUPT###,Furnture,Unknown,Unknown,15330,2664.628217,3/14/2022,5/6/2026,24,147,8,Available
